courseLink,courseName,courseSubject,coursePrice,courseProvider,Purchase,Enquiry
https://www.reed.co.uk/courses/fundamental-analysis-project--4--just-dial-online-training/255610#/courses/writing?pageno=72,Fundamental Analysis Project # 4 – Just Dial Online Training,Finance,189,EduCBA,0,0
https://www.reed.co.uk/courses/ruby-programming-ruby-on-rails-in-house-training/238491#/courses/writing?pageno=44,Ruby Programming &amp; Ruby on Rails - In-house Training,IT,,StayAhead Training,0,0
https://www.reed.co.uk/courses/scheme-programming/236940#/courses/writing?pageno=50,Scheme Programming,IT,99,EduCBA,0,0
https://www.reed.co.uk/courses/certificate-in-mastering-leadership--inspiring-a-shared-vision-level-3/266420#/courses/writing?pageno=112,Certificate in Mastering Leadership – Inspiring a Shared Vision - Level 3,HR_Leadership,12,Study365,0,0
https://www.reed.co.uk/courses/credit-research-project--5--education-sector-training-course/259184#/courses/writing?pageno=149,Credit Research Project # 5 – Education Sector Training Course,Finance,669,EduCBA,0,0
https://www.reed.co.uk/courses/weight-loss-motivation-lose-fat-and-keep-it-off/247020#/courses/writing?pageno=155,Weight Loss Motivation: Lose Fat And Keep It Off,Fitness,157,Skill Success,1,0
https://www.reed.co.uk/courses/podcast-storytelling-course/188506#/courses/writing?pageno=113,Podcast Storytelling Course,Media studies_Digital media,157,Skill Success,0,0
https://www.reed.co.uk/courses/java-part-02-various-updates-security-and-ria/231532#/courses/writing?pageno=84,"Java Part 02 Various Updates, Security and RIA ",IT_Coding_Java,29,1 Training,0,0
https://www.reed.co.uk/courses/fiction-writing-point-of-view/255944#/courses/writing, Fiction Writing: Point Of View,English_Creative writing,157,Skill Success,0,0
https://www.reed.co.uk/courses/javascript--functional-programming-for-javascript-developers/198557#/courses/writing?pageno=70,       JavaScript : Functional Programming for JavaScript Developers,IT_Coding_JavaScript,52.78,Packt Publishing,0,0
https://www.reed.co.uk/courses/proofreading--in-company-training/266311#/courses/writing?pageno=105,Proofreading – In-company training,English_Proofreading,948,Content ETC,0,0
https://www.reed.co.uk/courses/writing-skills-the-essentials/259564#/courses/writing,Writing Skills: The Essentials,Business_Business management_Report Writing,489,Centre for Strategy and Communication Ltd,0,1
https://www.reed.co.uk/courses/certificate-in-sat-act-preparation-part-1-online-course/190870#/courses/writing?pageno=107,Certificate in SAT/ACT Preparation Part 1 Online Course,Management_Education management,299,Courses for Success,0,0
https://www.reed.co.uk/courses/oracle-forms-part-i/238666#/courses/writing?pageno=147,Oracle Forms - Part I,IT_Database,2700,StayAhead Training,0,0
